Target voltage angle time
1054.69 3011 0.00 5627
1054.69 3011 0.00 5653
1054.69 3011 0.00 5678
1054.69 3011 0.00 5702
1054.69 3011 0.00 5728
1054.69 3011 1.41 5752
1054.69 3011 47.46 5778
1054.69 3011 114.26 5804
1054.69 3011 210.94 5830
1054.69 3011 317.46 5858
1054.69 3011 423.63 5884
1054.69 3011 529.10 5912
1054.69 3011 634.22 5939
1054.69 3011 740.04 5965
1054.69 3011 845.16 5993
1054.69 3011 950.63 6020
1054.69 3011 1055.39 6047
1054.69 3011 1165.78 6075
1054.69 3011 1274.77 6103
1054.69 3011 1380.59 6131
1054.69 3011 1493.44 6159
1054.69 3011 1599.96 6188
1054.69 3011 1708.24 6215
1054.69 3011 1817.58 6244
1054.69 3011 1926.91 6272
1054.69 2043 2034.14 6299
1054.69 3011 2071.76 6328
1054.69 1097 2107.62 6355
1054.69 3011 2131.52 6384
1054.69 3011 2111.48 6412
1054.69 3011 2135.74 6440
1054.69 2880 2138.91 6468
1054.69 3011 2086.87 6496
1054.69 15 2098.48 6524
1054.69 3011 2132.23 6550
1054.69 3011 2108.32 6579
1054.69 3011 2123.79 6606
1054.69 3011 2128.71 6634
1054.69 3011 2069.65 6663
1054.69 3 2074.92 6690
1054.69 3011 2107.27 6716
1054.69 2421 2084.41 6744
1054.69 3011 2087.93 6772
1054.69 2486 2083.36 6800
1054.69 3011 2028.87 6828
1054.69 717 2036.60 6856
1054.69 3011 2081.25 6883
1054.69 2114 2069.65 6912
1054.69 3011 2032.73 6939
1054.69 3011 2052.77 6967
1054.69 3011 2051.37 6995
1054.69 3011 1983.16 7023
1054.69 3011 1979.65 7052
1054.69 3011 2053.12 7079
1054.69 3011 2071.76 7108
1054.69 3011 2028.16 7136
1054.69 3011 2040.82 7163
1054.69 3011 2042.93 7192
1054.69 3011 1977.89 7220
1054.69 104 1979.30 7248
1054.69 3011 2009.88 7275
